stock_date,open,high,low,close,adjclose,volume,prev_1day_mean_score,prev_1day_news_count,prev_1day_mean_numeric
2015-09-01,0.545750022,0.555000007,0.535000026,0.538999975,0.524138749,353408000,0.0,0.0,0.0
2015-09-02,0.553749979,0.555499971,0.544499993,0.555249989,0.539940655,344044000,0.0,0.0,0.0
2015-09-03,0.563499987,0.566250026,0.555750012,0.55675,0.54139936,262556000,0.0,0.0,0.0
2015-09-04,0.547249973,0.555999994,0.543500006,0.543749988,0.528757751,287972000,0.0,0.0,0.0
2015-09-08,0.556999981,0.569249988,0.554750025,0.566999972,0.551366627,238448000,0.0,0.0,0.0
2015-09-09,0.568750024,0.573499978,0.554499984,0.555750012,0.54042697,289392000,0.0,0.0,0.0
2015-09-10,0.55250001,0.571500003,0.550000012,0.564499974,0.548935652,357076000,0.0,0.0,0.0
2015-09-11,0.55825001,0.569999993,0.555999994,0.566250026,0.550637603,301584000,0.0,0.0,0.0
2015-09-14,0.569000006,0.570749998,0.564249992,0.567250013,0.551609814,192460000,0.0,0.0,0.0
2015-09-15,0.567499995,0.576499999,0.565750003,0.573499978,0.557687521,327976000,0.0,0.0,0.0
2015-09-16,0.57249999,0.580749989,0.56825,0.577499986,0.56157726,173508000,0.0,0.0,0.0
2015-09-17,0.587499976,0.592750013,0.581499994,0.582750022,0.566682637,268712000,0.0,0.0,0.0
2015-09-18,0.574750006,0.587249994,0.571250021,0.582249999,0.566196442,326412000,0.0,0.0,0.0
2015-09-21,0.583000004,0.58950001,0.579999983,0.588249981,0.572030962,281840000,0.0,0.0,0.0
2015-09-22,0.575500011,0.57950002,0.569249988,0.572250009,0.556472123,228356000,0.0,0.0,0.0
2015-09-23,0.572749972,0.578499973,0.570500016,0.574999988,0.559146106,161632000,0.0,0.0,0.0
2015-09-24,0.571500003,0.592000008,0.5625,0.586000025,0.569843054,382440000,0.0,0.0,0.0
2015-09-25,0.593249977,0.601750016,0.584500015,0.590250015,0.573975742,369692000,0.0,0.0,0.0
2015-09-28,0.590250015,0.593999982,0.578750014,0.582499981,0.56643939,395584000,0.0,0.0,0.0
2015-09-29,0.588750005,0.59375,0.580500007,0.592750013,0.576406896,380736000,0.0,0.0,0.0
2015-09-30,0.598249972,0.616999984,0.594749987,0.616249979,0.59925884,556380000,0.0,0.0,0.0
2015-10-01,0.616249979,0.617999971,0.586749971,0.604250014,0.5875898,489296000,0.0,0.0,0.0
2015-10-02,0.601000011,0.620000005,0.594749987,0.620000005,0.602905512,386144000,0.0,0.0,0.0
2015-10-05,0.624000013,0.643249989,0.62075001,0.635500014,0.617978334,482024000,0.0,0.0,0.0
2015-10-06,0.628750026,0.646499991,0.626250029,0.643750012,0.626000762,453216000,0.0,0.0,0.0
2015-10-07,0.645250022,0.657000005,0.634750009,0.6505,0.632564545,310152000,0.0,0.0,0.0
2015-10-08,0.64775002,0.656000018,0.636749983,0.654250026,0.636211097,460068000,0.0,0.0,0.0
2015-10-09,0.650749981,0.657000005,0.639500022,0.651750028,0.633780181,423248000,0.0,0.0,0.0
2015-10-12,0.652499974,0.662500024,0.64775002,0.658749998,0.640587032,227588000,0.0,0.0,0.0
2015-10-13,0.653500021,0.663999975,0.651250005,0.660000026,0.641802609,298444000,0.0,0.0,0.0
2015-10-14,0.660749972,0.694750011,0.660000026,0.684000015,0.665140986,612148000,0.0,0.0,0.0
2015-10-15,0.685249984,0.699750006,0.678250015,0.685750008,0.666842639,526048000,0.0,0.0,0.0
2015-10-16,0.688000023,0.703000009,0.686249971,0.696500003,0.677296221,448396000,0.0,0.0,0.0
2015-10-19,0.698750019,0.702000022,0.687250018,0.695249975,0.676080644,294712000,0.0,0.0,0.0
2015-10-20,0.692250013,0.69749999,0.686999977,0.694249988,0.675108075,264824000,0.0,0.0,0.0
2015-10-21,0.698499978,0.702750027,0.684000015,0.685249984,0.666356504,386280000,0.0,0.0,0.0
2015-10-22,0.69325,0.712249994,0.692250013,0.709999979,0.690423965,306884000,0.0,0.0,0.0
2015-10-23,0.716250002,0.719500005,0.705500007,0.714749992,0.695043147,381776000,0.0,0.0,0.0
2015-10-26,0.715250015,0.717000008,0.704999983,0.711499989,0.691882491,247436000,0.0,0.0,0.0
2015-10-27,0.708000004,0.715499997,0.707499981,0.711000025,0.691396356,208268000,0.0,0.0,0.0
2015-10-28,0.715499997,0.716750026,0.704999983,0.716750026,0.696988046,217036000,0.0,0.0,0.0
2015-10-29,0.705250025,0.712499976,0.690750003,0.691999972,0.672920406,327168000,0.0,0.0,0.0
2015-10-30,0.699500024,0.714250028,0.694249988,0.709249973,0.689694822,301160000,0.0,0.0,0.0
2015-11-02,0.711499989,0.718249977,0.707249999,0.717499971,0.697717249,190088000,0.0,0.0,0.0
2015-11-03,0.713249981,0.71724999,0.70450002,0.712499976,0.692855,376768000,0.0,0.0,0.0
2015-11-04,0.710500002,0.715749979,0.69749999,0.700749993,0.681429029,442264000,0.0,0.0,0.0
2015-11-05,0.704249978,0.706250012,0.690750003,0.692749977,0.673649788,478800000,0.0,0.0,0.0
2015-11-06,0.761250019,0.798500001,0.745500028,0.788749993,0.767002881,1172272000,0.0,0.0,0.0
2015-11-09,0.781000018,0.787500024,0.774249971,0.785250008,0.763599157,492568000,0.0,0.0,0.0
2015-11-10,0.774999976,0.779250026,0.753750026,0.770250022,0.749012709,552260000,0.0,0.0,0.0
2015-11-11,0.770749986,0.776250005,0.75999999,0.76275003,0.741719663,619896000,0.0,0.0,0.0
2015-11-12,0.760999978,0.768000007,0.756749988,0.75999999,0.739045501,291080000,0.0,0.0,0.0
2015-11-13,0.760749996,0.763999999,0.741249979,0.745000005,0.724458933,292940000,0.0,0.0,0.0
2015-11-16,0.754750013,0.760500014,0.748749971,0.75999999,0.739045501,344280000,0.0,0.0,0.0
2015-11-17,0.762000024,0.766499996,0.756749988,0.75999999,0.739045501,257048000,0.0,0.0,0.0
2015-11-18,0.760249972,0.776750028,0.751999974,0.775749981,0.757225513,350216000,0.0,0.0,0.0
2015-11-19,0.778500021,0.785749972,0.772249997,0.777999997,0.759422004,254072000,0.0,0.0,0.0
2015-11-20,0.783749998,0.789250016,0.778999984,0.784749985,0.766010702,239744000,0.0,0.0,0.0
2015-11-23,0.79124999,0.79124999,0.770250022,0.773000002,0.754541278,242552000,0.0,0.0,0.0
2015-11-24,0.773000002,0.786000013,0.769500017,0.779250026,0.760642231,195428000,0.0,0.0,0.0
2015-11-25,0.777750015,0.787,0.7755,0.778249979,0.759666145,138300000,0.0,0.0,0.0
2015-11-27,0.77974999,0.787249982,0.775749981,0.784749985,0.766010702,86996000,0.0,0.0,0.0
2015-11-30,0.78549999,0.796500027,0.784749985,0.792999983,0.774063826,327244000,0.0,0.0,0.0
2015-12-01,0.800000012,0.819500029,0.799250007,0.818750024,0.799198747,409496000,0.0,0.0,0.0
2015-12-02,0.819999993,0.828499973,0.810750008,0.8125,0.793098092,294240000,0.0,0.0,0.0
2015-12-03,0.819000006,0.827499986,0.80675,0.810750008,0.791389883,246656000,0.0,0.0,0.0
2015-12-04,0.810750008,0.84525001,0.810750008,0.84375,0.823602021,458756000,0.0,0.0,0.0
2015-12-07,0.843500018,0.843500018,0.82525003,0.827750027,0.807983994,333588000,0.0,0.0,0.0
2015-12-08,0.817499995,0.842499971,0.812250018,0.838999987,0.818965256,314488000,0.0,0.0,0.0
2015-12-09,0.838750005,0.84375,0.809249997,0.817749977,0.798222661,372676000,0.0,0.0,0.0
2015-12-10,0.820249975,0.828999996,0.817499995,0.824500024,0.804811537,236596000,0.0,0.0,0.0
2015-12-11,0.816250026,0.822000027,0.810500026,0.812250018,0.79285413,227320000,0.0,0.0,0.0
2015-12-14,0.813000023,0.818750024,0.804499984,0.814249992,0.794806302,275892000,0.0,0.0,0.0
2015-12-15,0.823499978,0.829999983,0.819000006,0.824249983,0.804567456,307296000,0.0,0.0,0.0
2015-12-16,0.825999975,0.832000017,0.818750024,0.829249978,0.809448183,236356000,0.0,0.0,0.0
2015-12-17,0.830500007,0.838999987,0.816250026,0.81674999,0.797246397,254160000,0.0,0.0,0.0
2015-12-18,0.81099999,0.819249988,0.80250001,0.803499997,0.784312963,395896000,0.0,0.0,0.0
2015-12-21,0.812250018,0.823249996,0.805000007,0.82249999,0.802859366,284216000,0.0,0.0,0.0
2015-12-22,0.824999988,0.831499994,0.81825,0.823249996,0.80359149,130012000,0.0,0.0,0.0
2015-12-23,0.824500024,0.829750001,0.823000014,0.826499999,0.806763828,122524000,0.0,0.0,0.0
2015-12-24,0.824000001,0.831250012,0.822749972,0.829249978,0.809448183,52448000,0.0,0.0,0.0
2015-12-28,0.820500016,0.828499973,0.809000015,0.828499973,0.80871594,142024000,0.0,0.0,0.0
2015-12-29,0.828999996,0.844500005,0.82674998,0.842000008,0.821893811,203660000,0.0,0.0,0.0
2015-12-30,0.841250002,0.848500013,0.834500015,0.834749997,0.814816892,180344000,0.0,0.0,0.0
2015-12-31,0.833500028,0.837249994,0.824000001,0.824000001,0.804323614,148528000,0.0,0.0,0.0
2016-01-04,0.807250023,0.814499974,0.800999999,0.809249997,0.789925694,358076000,0.0,0.0,0.0
2016-01-05,0.824500024,0.836000025,0.8125,0.822250009,0.802615345,490272000,0.0,0.0,0.0
2016-01-06,0.808749974,0.8125,0.778999984,0.788250029,0.76942718,449344000,0.0,0.0,0.0
2016-01-07,0.76849997,0.773750007,0.746999979,0.757000029,0.73892343,645304000,0.0,0.0,0.0
2016-01-08,0.766749978,0.767499983,0.739250004,0.740750015,0.723061383,398472000,0.0,0.0,0.0
2016-01-11,0.74150002,0.747250021,0.72874999,0.741999984,0.724281549,409372000,0.0,0.0,0.0
2016-01-12,0.755249977,0.765500009,0.749249995,0.754499972,0.736483216,469356000,0.0,0.0,0.0
2016-01-13,0.760249972,0.765250027,0.730750024,0.73150003,0.714032352,481672000,0.0,0.0,0.0
2016-01-14,0.716499984,0.725000024,0.695500016,0.716750026,0.699634612,600236000,0.0,0.0,0.0
2016-01-15,0.688000023,0.696250021,0.666000009,0.677749991,0.661565781,841452000,0.0,0.0,0.0
2016-01-19,0.69174999,0.711250007,0.680499971,0.68325001,0.66693455,457140000,0.0,0.0,0.0
2016-01-20,0.670249999,0.695749998,0.661249995,0.686999977,0.67059499,481180000,0.0,0.0,0.0
2016-01-21,0.694500029,0.705749989,0.680249989,0.694999993,0.678404033,481456000,0.0,0.0,0.0
2016-01-22,0.708249986,0.716000021,0.706749976,0.711250007,0.694265842,257996000,0.0,0.0,0.0
2016-01-25,0.711000025,0.719250023,0.708999991,0.710500002,0.693533897,270728000,0.0,0.0,0.0
2016-01-26,0.712000012,0.720499992,0.704750001,0.717499971,0.700366676,227944000,0.0,0.0,0.0
2016-01-27,0.716499984,0.71875,0.695500016,0.708999991,0.692069709,231700000,0.0,0.0,0.0
2016-01-28,0.714749992,0.71724999,0.6875,0.701250017,0.684504688,276776000,0.0,0.0,0.0
2016-01-29,0.707249999,0.733749986,0.70450002,0.732249975,0.714764476,310504000,0.0,0.0,0.0
2016-02-01,0.73150003,0.736249983,0.725250006,0.732500017,0.715008438,289884000,0.0,0.0,0.0
2016-02-02,0.725000024,0.72874999,0.696500003,0.701499999,0.684748709,341908000,0.0,0.0,0.0
2016-02-03,0.707000017,0.711250007,0.688750029,0.704999983,0.688165247,326772000,0.0,0.0,0.0
2016-02-04,0.70599997,0.721249998,0.698249996,0.705250025,0.68840915,348140000,0.0,0.0,0.0
2016-02-05,0.700500011,0.708249986,0.658749998,0.660749972,0.644971907,600428000,0.0,0.0,0.0
2016-02-08,0.650749981,0.653999984,0.621249974,0.630500019,0.615444124,608852000,0.0,0.0,0.0
2016-02-09,0.623000026,0.663749993,0.620000005,0.637250006,0.622032821,425372000,0.0,0.0,0.0
2016-02-10,0.641250014,0.659749985,0.632250011,0.635749996,0.620568693,335800000,0.0,0.0,0.0
2016-02-11,0.619499981,0.638999999,0.619499981,0.632499993,0.617396593,340144000,0.0,0.0,0.0
2016-02-12,0.642499983,0.644500017,0.618749976,0.643249989,0.627889574,340816000,0.0,0.0,0.0
